ULPIN_ID,Scene_ID,Building_ID,Centroid_X,Centroid_Y,Footprint_Area_m2,Building_Height_m,Building_Volume_m3,Roof_Area_m2,Roof_Height_m,Roof_Centroid_X,Roof_Centroid_Y,Point_Count,Roof_Point_Count,Roof_Footprint_Ratio,Estimated_Floors,Building_Type,Usable_Roof_Area_m2,Estimated_Solar_Capacity_kW,Has_3D_Geometry,2D_Roof_ID,YOLO_Confidence,Roof_Pixel_X,Roof_Pixel_Y,Matched_ULPIN_ID,Matched_Building_ID,3D_Centroid_X,3D_Centroid_Y,3D_Scene3_Pixel_X,3D_Scene3_Pixel_Y,Pixel_Distance,Match_Score,Match_Accepted,Roof_Detected_2D,Data_Status,Solar_Data_Available
IN3D-01-0012,1,12,57.17,68.09,90.27,9.92,895.6,86.68,3.97,57.355,67.902,2330,832,0.96,3,Mid-rise,65.01,6.5,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0013,1,13,62.241,45.904,121.53,6.93,841.99,94.63,3.65,62.811,45.656,1192,472,0.779,2,Low-rise,70.97,7.1,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0014,1,14,65.041,-15.427,147.62,12.72,1877.63,138.57,10.01,65.082,-14.304,4968,1715,0.939,4,Mid-rise,103.93,10.39,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0015,1,15,18.481,63.646,201.82,5.5,1110.35,187.02,2.7,19.433,64.399,2075,1236,0.927,2,Low-rise,140.27,14.03,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0016,1,16,85.846,15.457,59.46,5.32,316.58,48.43,1.77,86.402,16.066,1211,274,0.814,2,Low-rise,36.32,3.63,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0017,1,17,51.558,40.298,121.51,12.71,1544.22,107.74,3.93,50.413,40.55,4820,1281,0.887,4,Mid-rise,80.8,8.08,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0018,1,18,-12.889,34.81,118.82,5.86,695.96,104.93,1.96,-14.8,35.438,1439,439,0.883,2,Low-rise,78.7,7.87,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0019,1,19,-17.909,47.65,119.97,6.85,821.44,112.4,1.91,-18.972,47.591,1691,442,0.937,2,Low-rise,84.3,8.43,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0020,1,20,68.823,-127.181,194.01,14.58,2828.18,161.84,3.75,70.871,-127.328,5564,2002,0.834,5,Mid-rise,121.38,12.14,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0021,1,21,23.633,96.688,122.42,5.23,640.53,116.96,3.61,23.376,97.288,1939,794,0.955,2,Low-rise,87.72,8.77,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0022,1,22,21.825,-35.164,83.93,4.49,376.55,78.32,2.27,23.098,-34.503,1190,403,0.933,1,Low-rise,58.74,5.87,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0023,1,23,15.157,9.8,80.17,4.42,354.61,68.87,1.91,16.424,10.027,964,354,0.859,1,Low-rise,51.65,5.16,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0024,1,24,36.781,46.11,117.46,5.96,700.04,103.59,3.0,35.375,46.059,1503,605,0.882,2,Low-rise,77.69,7.77,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0025,1,25,-22.491,13.589,67.56,5.11,345.26,56.33,2.17,-22.727,14.041,1111,310,0.834,2,Low-rise,42.25,4.22,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0026,1,26,-22.352,-51.351,132.86,15.28,2030.11,123.28,5.33,-22.634,-50.66,4835,1367,0.928,5,High-rise,92.46,9.25,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0027,1,27,76.59,66.12,167.02,4.96,827.96,159.24,3.34,76.524,65.196,1874,1054,0.953,2,Low-rise,119.43,11.94,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0028,1,28,-5.23,-15.813,56.65,4.59,260.14,55.38,1.94,-5.742,-15.114,814,341,0.978,2,Low-rise,41.54,4.15,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0029,1,29,-38.319,-99.181,72.17,5.78,416.99,60.48,2.61,-39.721,-97.95,1139,491,0.838,2,Low-rise,45.36,4.54,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0030,1,30,70.998,76.538,25.45,4.57,116.45,24.45,1.91,71.391,76.786,513,184,0.961,2,Low-rise,18.34,1.83,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0031,1,31,93.373,-125.738,116.16,13.31,1545.79,99.76,3.12,93.3,-126.402,3503,1228,0.859,4,Mid-rise,74.82,7.48,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0032,1,32,53.248,-15.149,157.56,12.66,1994.64,154.64,2.54,53.669,-15.814,5143,1742,0.981,4,Mid-rise,115.98,11.6,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0033,1,33,-62.981,-38.312,123.29,6.57,809.99,102.9,2.4,-64.307,-39.317,1828,464,0.835,2,Low-rise,77.18,7.72,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0034,1,34,34.986,55.824,81.1,12.44,1009.09,79.2,2.65,34.888,55.707,3133,960,0.977,4,Mid-rise,59.4,5.94,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0035,1,35,63.354,-113.569,113.75,5.69,647.5,93.34,2.87,64.672,-112.62,1285,586,0.821,2,Low-rise,70.0,7.0,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0036,1,36,23.444,47.623,156.8,15.92,2495.66,142.87,4.55,23.1,48.028,7261,2366,0.911,5,High-rise,107.15,10.72,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0037,1,37,58.18,-44.422,103.26,5.64,582.24,96.8,2.33,58.572,-44.291,1341,373,0.937,2,Low-rise,72.6,7.26,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0038,1,38,-47.706,-107.757,145.61,9.1,1324.7,140.19,2.32,-48.128,-107.394,2708,674,0.963,3,Mid-rise,105.14,10.51,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0039,1,39,103.299,93.814,40.13,3.0,120.56,31.3,1.0,103.271,93.652,536,200,0.78,1,Single-storey,23.48,2.35,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0040,1,40,115.182,53.524,114.08,3.91,445.76,100.11,1.69,115.229,53.66,1498,822,0.878,1,Single-storey,75.08,7.51,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0041,1,41,56.068,96.34,96.25,6.12,588.91,87.38,2.07,55.398,96.511,2001,767,0.908,2,Low-rise,65.54,6.55,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0042,1,42,59.111,31.762,86.14,4.67,402.33,82.99,3.87,60.549,31.597,846,499,0.963,2,Low-rise,62.24,6.22,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0043,1,43,10.978,23.54,150.8,14.26,2150.56,146.44,2.4,10.863,23.614,5497,1518,0.971,5,Mid-rise,109.83,10.98,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0044,1,44,33.362,13.065,165.84,12.14,2013.04,153.85,9.1,32.47,13.647,5173,1600,0.928,4,Mid-rise,115.39,11.54,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0045,1,45,66.84,5.72,142.1,12.96,1841.36,123.4,3.0,66.067,5.044,5544,1204,0.868,4,Mid-rise,92.55,9.25,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0046,1,46,46.559,-103.54,146.11,16.56,2418.8,114.7,4.9,47.03,-103.409,5697,1214,0.785,6,High-rise,86.02,8.6,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0047,1,47,51.141,2.625,130.71,14.18,1852.93,120.79,3.42,51.019,2.416,6047,1881,0.924,5,Mid-rise,90.59,9.06,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0048,1,48,88.491,50.539,179.05,13.97,2500.45,169.55,4.1,88.068,50.543,5510,1591,0.947,5,Mid-rise,127.16,12.72,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0049,1,49,81.322,-1.827,200.62,13.23,2653.25,195.54,3.36,82.415,-2.092,6470,2045,0.975,4,Mid-rise,146.66,14.67,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0050,1,50,-19.41,60.356,122.37,6.24,763.02,107.4,1.74,-20.904,60.85,1679,758,0.878,2,Low-rise,80.55,8.06,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0051,1,51,15.453,-84.424,179.48,14.87,2668.25,136.45,2.88,16.379,-85.419,6280,960,0.76,5,Mid-rise,102.34,10.23,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0052,1,52,74.184,103.081,47.9,5.14,246.08,45.54,3.16,74.469,103.575,746,397,0.951,2,Low-rise,34.16,3.42,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0053,1,53,31.216,-31.348,78.32,6.33,495.44,72.2,2.64,31.196,-29.556,1068,504,0.922,2,Low-rise,54.15,5.42,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0054,1,54,-55.559,-98.897,211.28,4.25,898.35,193.63,1.17,-55.829,-100.103,1891,803,0.916,1,Low-rise,145.22,14.52,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0055,1,55,93.909,-111.725,57.68,4.71,271.65,50.26,2.35,94.092,-111.251,945,378,0.871,2,Low-rise,37.7,3.77,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0056,1,56,19.775,-26.032,29.17,2.65,77.32,23.28,1.2,19.819,-25.65,797,330,0.798,1,Single-storey,17.46,1.75,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0057,1,57,-28.025,-125.625,134.43,9.21,1238.47,104.89,1.27,-28.163,-125.292,3414,1144,0.78,3,Mid-rise,78.67,7.87,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0058,1,58,104.606,82.004,230.76,12.72,2935.11,200.39,3.26,105.155,83.91,5810,1469,0.868,4,Mid-rise,150.29,15.03,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0059,1,59,-46.426,-48.685,201.84,13.24,2672.78,181.65,5.2,-47.019,-48.252,6052,2331,0.9,4,Mid-rise,136.24,13.62,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0060,1,60,-7.153,-113.698,155.13,12.77,1980.63,129.05,5.25,-7.173,-113.652,5294,1863,0.832,4,Mid-rise,96.79,9.68,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0061,1,61,76.859,-114.443,63.71,4.95,315.12,52.3,2.52,76.07,-114.117,778,366,0.821,2,Low-rise,39.22,3.92,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0062,1,62,-35.885,27.439,53.57,5.88,314.73,50.43,1.72,-35.557,28.174,962,283,0.941,2,Low-rise,37.82,3.78,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0063,1,63,14.396,107.167,43.82,3.87,169.46,33.6,1.82,14.393,106.954,728,320,0.767,1,Single-storey,25.2,2.52,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0064,1,64,42.416,32.88,130.89,10.35,1354.23,107.54,1.14,41.431,33.972,4464,1616,0.822,3,Mid-rise,80.66,8.07,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0065,1,65,26.96,-10.853,88.38,12.91,1141.14,71.64,1.25,26.187,-8.947,3922,662,0.811,4,Mid-rise,53.73,5.37,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0066,1,66,70.31,23.674,136.56,13.92,1901.54,122.2,3.68,69.239,23.838,5368,1655,0.895,5,Mid-rise,91.65,9.17,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0067,1,67,-8.979,14.576,164.35,12.91,2122.41,145.69,2.51,-9.276,15.385,3957,700,0.886,4,Mid-rise,109.27,10.93,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0068,1,68,19.003,-116.234,145.68,15.08,2196.39,136.78,2.51,18.746,-116.569,5023,1434,0.939,5,High-rise,102.58,10.26,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0069,1,69,52.686,106.938,103.92,6.13,636.78,89.67,2.36,52.681,107.846,1610,532,0.863,2,Low-rise,67.25,6.72,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0070,1,70,36.749,88.731,129.79,13.06,1694.56,123.05,2.84,36.099,88.894,4918,1498,0.948,4,Mid-rise,92.29,9.23,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0071,1,71,-49.819,-35.387,123.68,5.29,654.81,105.12,2.43,-49.714,-36.943,1405,528,0.85,2,Low-rise,78.84,7.88,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0072,1,72,44.265,23.207,136.84,5.1,698.39,122.96,2.33,43.873,24.258,2475,1159,0.899,2,Low-rise,92.22,9.22,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0073,1,73,-26.182,29.788,124.95,15.17,1895.11,113.63,4.38,-26.368,30.361,4970,1556,0.909,5,High-rise,85.22,8.52,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0074,1,74,-9.789,-48.098,155.37,15.47,2402.83,124.36,5.28,-11.746,-48.083,5448,1549,0.8,5,High-rise,93.27,9.33,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0075,1,75,-67.692,-12.88,199.33,18.79,3744.39,149.47,5.99,-68.566,-11.086,9188,1527,0.75,6,High-rise,112.1,11.21,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0076,1,76,-3.703,-54.391,44.0,3.57,157.27,32.26,0.52,-5.006,-54.005,901,161,0.733,1,Single-storey,24.2,2.42,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0077,1,77,100.667,17.09,159.55,12.84,2048.8,135.79,2.73,101.505,17.312,5115,1498,0.851,4,Mid-rise,101.84,10.18,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0078,1,78,48.47,123.442,223.89,5.19,1162.21,208.55,3.16,48.989,124.114,2689,1379,0.931,2,Low-rise,156.41,15.64,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0079,1,79,82.764,-126.029,76.41,5.15,393.67,67.76,2.04,82.729,-126.664,860,537,0.887,2,Low-rise,50.82,5.08,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0080,1,80,96.25,99.867,119.79,6.15,736.5,108.48,4.86,96.59,99.638,1616,877,0.906,2,Low-rise,81.36,8.14,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0081,1,81,67.033,115.303,149.81,12.85,1924.79,138.34,3.79,66.763,116.756,4674,2028,0.923,4,Mid-rise,103.76,10.38,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0082,1,82,15.403,46.262,41.8,6.66,278.32,37.94,2.36,16.202,46.468,865,298,0.908,2,Low-rise,28.46,2.85,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0083,1,83,-77.949,-41.165,142.91,5.95,850.11,137.95,2.83,-78.411,-41.103,2989,1943,0.965,2,Low-rise,103.46,10.35,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0084,1,84,89.44,40.871,90.8,4.84,439.63,79.75,2.58,90.121,41.462,1040,482,0.878,2,Low-rise,59.81,5.98,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0085,1,85,-1.603,-131.181,134.58,7.47,1004.75,122.41,2.82,-0.91,-131.214,1904,867,0.91,2,Low-rise,91.81,9.18,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0086,1,86,76.593,77.463,67.12,7.13,478.49,62.46,2.02,76.83,79.046,1081,277,0.931,2,Low-rise,46.84,4.68,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0087,1,87,105.75,107.94,136.15,11.92,1622.8,122.61,4.21,105.507,108.404,4467,1320,0.901,4,Mid-rise,91.96,9.2,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0088,1,88,11.771,96.699,87.73,4.68,410.89,76.1,1.15,10.867,97.229,1198,500,0.867,2,Low-rise,57.08,5.71,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0089,1,89,123.871,-115.96,93.02,5.46,507.79,80.25,1.71,122.72,-114.702,1223,550,0.863,2,Low-rise,60.19,6.02,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0090,1,90,103.443,60.404,141.54,13.74,1944.55,135.13,3.7,103.152,61.059,5496,1519,0.955,5,Mid-rise,101.35,10.14,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0091,1,91,24.734,-23.497,72.05,5.31,382.57,64.18,1.55,25.873,-22.957,1188,484,0.891,2,Low-rise,48.14,4.81,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0092,1,92,49.246,-28.836,45.23,5.34,241.74,37.48,0.92,48.404,-27.688,1621,399,0.829,2,Low-rise,28.11,2.81,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0093,1,93,84.842,102.425,157.49,14.31,2253.49,146.59,7.11,85.625,103.182,6813,1781,0.931,5,Mid-rise,109.94,10.99,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0094,1,94,39.772,-12.703,65.64,4.77,313.17,60.16,1.7,39.885,-13.185,1012,417,0.917,2,Low-rise,45.12,4.51,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0095,1,95,26.714,27.485,239.8,14.59,3497.98,230.38,3.85,26.334,27.539,8658,3362,0.961,5,Mid-rise,172.78,17.28,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0096,1,96,88.248,-101.985,153.42,17.51,2685.79,140.5,2.81,87.984,-102.011,6446,1368,0.916,6,High-rise,105.38,10.54,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0097,1,97,-71.068,-49.851,46.52,6.03,280.35,38.87,2.38,-71.152,-48.437,928,218,0.836,2,Low-rise,29.15,2.92,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0098,1,98,2.12,83.027,66.63,3.31,220.84,63.9,1.37,2.604,82.981,854,442,0.959,1,Single-storey,47.92,4.79,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0099,1,99,-21.821,41.292,38.78,3.03,117.57,34.9,0.64,-21.12,41.715,408,227,0.9,1,Single-storey,26.17,2.62,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0100,1,100,79.335,137.157,262.64,6.36,1669.26,226.03,3.31,79.106,138.483,2672,1303,0.861,2,Low-rise,169.52,16.95,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0101,1,101,-12.673,113.866,137.51,15.3,2104.49,129.76,2.53,-12.37,114.751,4141,1082,0.944,5,High-rise,97.32,9.73,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0102,1,102,-64.561,116.996,153.21,16.23,2486.51,137.9,3.36,-64.698,118.151,5220,1896,0.9,5,High-rise,103.43,10.34,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0103,1,103,96.556,123.497,147.33,12.81,1887.08,129.79,1.4,96.732,124.555,6085,2196,0.881,4,Mid-rise,97.34,9.73,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0104,1,104,70.348,87.298,145.77,11.92,1737.63,130.87,2.23,68.639,87.498,5530,1083,0.898,4,Mid-rise,98.15,9.82,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0105,1,105,100.697,-105.947,145.13,5.36,777.36,138.09,4.2,100.469,-105.24,1737,1272,0.951,2,Low-rise,103.57,10.36,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0106,1,106,20.643,127.158,43.47,2.81,121.94,39.16,0.97,20.844,127.855,632,288,0.901,1,Single-storey,29.37,2.94,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0107,1,107,101.381,-147.168,152.86,12.78,1953.9,130.21,5.86,101.715,-147.805,3710,1393,0.852,4,Mid-rise,97.66,9.77,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0108,1,108,60.712,134.621,135.84,6.27,851.34,111.57,3.54,61.273,136.283,1216,666,0.821,2,Low-rise,83.68,8.37,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0109,1,109,-8.704,-8.48,81.79,6.45,527.92,73.8,2.1,-8.67,-8.624,1114,341,0.902,2,Low-rise,55.35,5.54,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0110,1,110,111.562,-103.903,183.08,14.43,2641.74,116.73,3.43,110.484,-102.673,5064,1160,0.638,5,Mid-rise,87.55,8.75,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0111,1,111,-13.656,-140.473,148.16,5.5,814.37,142.18,3.52,-14.101,-141.226,1418,724,0.96,2,Low-rise,106.64,10.66,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0112,1,112,-38.353,-134.672,125.86,14.53,1829.27,121.09,4.08,-38.054,-134.765,4068,1714,0.962,5,Mid-rise,90.82,9.08,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0113,1,113,52.047,77.633,106.66,5.09,542.61,100.91,3.56,52.026,77.322,1180,782,0.946,2,Low-rise,75.68,7.57,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0114,1,114,98.87,-10.741,104.96,12.61,1323.41,88.25,2.75,97.948,-10.899,3240,1307,0.841,4,Mid-rise,66.19,6.62,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0115,1,115,27.918,110.086,143.27,16.81,2407.93,123.22,5.55,28.006,110.711,7402,1476,0.86,6,High-rise,92.42,9.24,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0116,1,116,-36.513,122.702,165.86,12.66,2099.83,138.89,5.97,-37.043,123.485,4468,1706,0.837,4,Mid-rise,104.17,10.42,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0117,1,117,-43.289,90.869,270.05,15.07,4068.37,248.5,12.91,-42.649,91.842,7931,2569,0.92,5,High-rise,186.38,18.64,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0118,1,118,11.192,-119.695,51.03,3.8,193.73,44.77,1.16,11.094,-119.666,699,340,0.877,1,Single-storey,33.58,3.36,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
IN3D-01-0119,1,119,12.522,80.607,156.51,15.12,2366.95,145.59,5.49,13.188,81.548,5792,1321,0.93,5,High-rise,109.19,10.92,True,-1.0,,,,,,,,,,,,False,False,3D_inventory_only,True
